date,hashtag
1/1/16,[]
1/2/16,[]
1/3/16,[]
1/4/16,[]
1/5/16,[]
1/6/16,[]
1/7/16,[]
1/8/16,[]
1/9/16,[]
1/10/16,[]
1/11/16,[]
1/12/16,[]
1/13/16,[]
1/14/16,[]
1/15/16,[]
1/16/16,"['#fw16', '#gzd', '#katemoss', '#mfw', '#mil', '#sho', '#stefanopilat', '#stormwom', '#tail', '#versac', '#versacel']"
1/17/16,"['#afprefall2016', '#albertaferrett', '#bespec', '#brandsw', '#bulgar', '#fashionpr', '#fbloggerswanted', '#ferragamofw16', '#fw16', '#kuwtk', '#manaw1617', '#mfw', '#mil', '#misson', '#missonim', '#monclergammebleu', '#mycalvin', '#periscop', '#pradafw16', '#sfscope', '#swed', '#travelblog']"
1/18/16,"['#bluemonday', '#criticschoiceaward', '#davidsim', '#fendifw16', '#gucc', '#londonlookuk', '#mlk', '#mlkday', '#monclergammebleu', '#myfirsttakeov', '#pradafw16', '#sho', '#spring16']"
1/19/16,"['#b_original', '#colettep', '#fashionnew', '#fw1617', '#iwcpilot', '#iwcsihh', '#mbfwb', '#revolveact']"
1/20/16,"['#bewel', '#fw1617', '#hproject', '#jmendel', '#jwloscabos', '#men', '#mpfw', '#nail', '#nta', '#nta2016', '#pfw', '#sihh2016', '#styleinameric', '#valentino', '#wishl']"
1/21/16,"['#heal', '#hellokittybyop', '#jwloscabos', '#louisvuitton', '#lvfw16', '#mpfw', '#nyc', '#pfw', '#photoshoot', '#sb50footballs', '#sihh', '#sihh2016', '#spotlightmovy', '#sund']"
1/22/16,"['#atelierversac', '#beautyl', '#ff', '#givenchy', '#loewefw16', '#natashadenon', '#obsess', '#pfw', '#rbdiy', '#saksbeauty']"
1/23/16,"['#50straightup', '#balmainfw16', '#blizzard2016', '#chloe', '#diorhom', '#finland', '#helsink', '#matka2016', '#matkamessut']"
1/24/16,"['#atelierversac', '#balmainfw16', '#cout', '#lanvinfw16', '#lanvinhom']"
1/25/16,"['#breakfastweek', '#chic', '#cout', '#diorcout', '#londonfashionweek', '#monday', '#mondaymot', '#par', '#popissue34', '#rom']"
1/26/16,"['#bachel', '#bewel', '#cfdaawards', '#cout', '#hautecout', '#highheel', '#lanvin', '#lanvinfw16', '#lanvinhom', '#lucasossendrijv', '#par', '#pariseventc', '#shortyaward', '#spring16', '#traveltuesday']"
1/27/16,"['#backst', '#beautybox', '#behindthesc', '#bts', '#calvinklein', '#chanelhautecout', '#chanelhc16', '#dvfsecretagent', '#fabfind', '#fashionshow', '#hautecout', '#humpday', '#influenceinact', '#jpglive', '#model', '#mua', '#mycalvin', '#panachem', '#panachemodel', '#ss16', '#sund', '#valentino', '#viktorandrolfcout', '#work']"
1/28/16,"['#ant', '#eatsleepwearmexico', '#hautecout', '#loracxl', '#mywhowhatwear', '#nyfw', '#nyfwm', '#parishautecout', '#richinfai', '#tfbeauty', '#tfwss16', '#tomford']"
1/29/16,"['#1dhistoryandme', '#ant', '#eatsleepwearmexico', '#flashbackfriday', '#forevermet', '#gorg', '#howtobesingl', '#londonlookuk', '#omgwowlash', '#robertocavalliss16', '#weddingho']"
1/30/16,"['#aboutlastnight', '#beatsxee25', '#bridesmaid', '#fashionpol', '#genbeauty', '#lookbook', '#malemodel', '#nashvil', '#panachemodel', '#pfwc', '#roksand', '#sag', '#sagaward', '#smashbox', '#sohofarmh']"
1/31/16,"['#aliciavikand', '#beautycrush', '#eatsleepwearmexico', '#eredcarpet', '#fashionpol', '#genbeauty', '#redcarpet', '#sag', '#sagaward', '#sho', '#sundayfunday', '#youbeyou']"
2/1/16,"['#carib', '#chanel', ""#fordmen's"", '#gottalentau', '#greasel', '#highheel', '#loewecny', '#monday', '#mondaymot', '#nyfwm', '#sagawards2016', '#seeninwonderland', '#zoolander2']"
2/2/16,"['#dockersturns30', '#fashionpol', ""#fordmen's"", '#groundhogday', '#insidechanel', '#lanvinedit', '#nyfwm', '#ohmygossip', '#spring', '#valentin', '#valentinesday']"
2/3/16,"['#10crosbyfilms', '#cdv2016', '#chinesenewyear', '#denimmadewel', '#insidechanel', '#lucy4bm', '#nyfw', '#nyfwm', '#ohmygossip', '#saksattheshow', '#saksm', '#telenovel', '#the2ofus', '#valentinesday', '#wcw', '#weddingho', '#weddingwednesday']"
2/4/16,"['#ambassad', '#bcastreng', '#blahnikatburlington', '#fall2016', ""#fordmen's"", '#lfw', '#margheritascarn', '#nyfw', '#nyfwm', '#opineworl', '#panachem', '#saksattheshow', '#sho', '#superbowl50', '#throwbackthursday', '#tommyfall16', '#valentin', '#worldcancerday', '#zoolander2']"
2/5/16,"['#080bcnfashion', '#americanday', '#bodyposit', '#lanvincourtney', '#superbowl', '#youbeyou']"
2/6/16,"['#coach1941', '#coach75', '#coachvint', '#goya2016', '#jeannelanvin', '#sb50', '#superbold50', '#superbowl', '#thebeautifulmo', '#yearofthemonkey', '#youonthecov']"
2/7/16,"['#bloomatnight', '#etsy', '#fashionweek', '#form', '#jeffreestarcosmet', '#malemodel', '#retro', '#sb50', '#superbold50', '#superbowl', '#superbowl50', '#superbowlsunday', '#thebeautifulmo', '#tour', '#travel', '#vint']"
2/8/16,"['#carnaval2016', '#chinesenewyear', '#etsy', '#fblogger', '#helenareetennet', '#jasonwu', '#lifewithotto', '#lunarnewyear', '#monday', '#mondayblog', '#mumsofboy', '#nyfw', '#retro', '#sb50', '#superbowl', '#tb', '#versacecelebr', '#vint', '#win', '#yearofthemonkey']"
2/9/16,"['#colet', '#gift', '#guatemal', '#hellokitty', '#instagram', '#jeannelanvin', '#jwanderson', '#lfwend', '#lov', '#lovespr', '#olympialet', '#opineworl', '#rom', '#shop', '#thebachel', '#vog']"
2/10/16,"['#aw16', '#balmainarmy', '#bcbgrunwaynyfw', '#competit', '#fashionweek', '#gigihadid', '#howtobesingl', '#lfw', '#lovespr', '#madewellxdarylk', '#malemodel', '#models1', '#nyfw', '#repost', '#stylech', '#theroy', '#valentinesday', '#vogue100', '#zooland', '#zoolander2']"
2/11/16,"['#90s', '#access', '#adamselm', '#amf', '#amfarnewyork', '#aw16', '#bcbg', '#bcbgrunwaynyfw', '#bcbgrunwaytote', '#beautybox', '#carnaval2016', '#cheveux', '#cosmet', '#edit', '#gift', '#jenniferaniston', '#kyleanderson', '#lanvinjijib', '#lfw', '#lipstick', '#models1', '#mythost', '#mytxaquazzur', '#new', '#newyork', '#nyfw', '#nyfw16', '#nyfw2016', '#opineworl', '#priz', '#saintla', '#saksattheshow', '#shortyaward', '#showpack', '#sibl', '#stilalovesnyfw', '#yeezyseason3']"
2/12/16,"['#access', '#adamselm', '#bcbgrunwaytote', '#behindthecurtain', '#bluesteel', '#cfdanyfw', '#charlottetilbury', '#competit', '#eebafta', '#emporioarmanisound', '#fall2016', '#fash', ""#fordwomen's"", '#galentinesday', '#gucc', '#instaday', '#jasonw', '#jasonwu', '#kyleanderson', '#lacostefw16', '#madefw', '#mitchellfeinberg', '#new', '#nyfw', '#nyfw16', '#nyfw2016', '#offtherunway', '#reddresscollect', '#regram', '#ruthbel', '#saksattheshow', '#startup', '#thebeautifulmo', '#tresnyfw', '#valentin', '#vday', '#yeezy', '#yeezyseason3']"
