id	created_at	hashtags	cleaned_text
1092990279869714432	2019-02-06	[]	want see peopl ag wendy leon model 72 said
1092971912098185217	2019-02-06	[]	fut nyfw men's
1092898226284445697	2019-02-05	['#nyfw']	best par fash week peopl resta land new york rihann kimy rest mak canteen
1092866722745516032	2019-02-05	[]	chanel hold old way said july wainwright realr luxury onlin consign company french fash hous suing fed court
1092837808635604997	2019-02-05	[]	rog ston tre us quit costum dram fed court last week
1092805905597513729	2019-02-05	[]	prab
1092747441642897408	2019-02-05	[]	fut nyfw men's
1092626036985118720	2019-02-05	[]	tod snyd fal 2019
1092538315776102400	2019-02-04	[]	fash favorit french canteen com sak regul lik rihann kimy arnault com
1092524877364555782	2019-02-04	[]	naom mishkin contemp art mak busy leis wear clev twist
1092502081540444161	2019-02-04	[]	schiaparelli spring 2019
1092500529731813376	2019-02-04	[]	david hart fal 2019
1092490930299523073	2019-02-04	[]	kram &amp; stoudt fal 2019
1092417366326210563	2019-02-04	[]	best par fash resta land new york
1091058228320968706	2019-01-31	[]	sport mak fash
1090707984148324352	2019-01-30	[]	poss chang award season red carpet market machin arian phillip carineh martin plan sancho panz quixot tilt windmil david increas target slingshot @vvfriedman ask
1090595714974052352	2019-01-30	[]	rad found last july chang convers red carpet frock frock philanthrop
1090015756174143488	2019-01-28	[]	want see peopl ag wendy leon model 72 said
1089956280477700097	2019-01-28	[]	realr sav retail
1088941104362332160	2019-01-25	[]	lobst champagn mult gemston part renov celebr boucheron
1088861331325968384	2019-01-25	[]	on resolv new year involv stay ahead curv label help get
1088833006293397505	2019-01-25	[]	giorgio arman ad 19 apart madison avenu flag neut anybody
1088596825920233472	2019-01-25	[]	chanel hold old way said july wainwright realr luxury onlin consign company french fash hous suing fed court
1088553379138277376	2019-01-24	[]	valentino's pierpaolo picciol mak stat runway @balmain mak debut vikt &amp; rolf send mess @vvfriedman review end cout
1088527552916922369	2019-01-24	[]	us cloth got rawth fant
1088458418585849856	2019-01-24	[]	cienne's subvert stapl fuss design fil smidg hol left phoeb philo depart celin
1088368580016697344	2019-01-24	[]	poggy want bring japanes design
1088293332915240960	2019-01-24	[]	realr sav retail
1088253815210557440	2019-01-24	[]	today's quest cout show par can't latex precy lac
