id	created_at	hashtags	cleaned_text
1093152683685494791	2019-02-06	[]	mid flar
1092428156563320832	2019-02-04	[]	monday blueprint &gt;
1090987078962343937	2019-01-31	[]	bundl &gt;
1090622449471889408	2019-01-30	[]	new ar &gt;
1090243447582322688	2019-01-29	[]	on lay
1089895772949233666	2019-01-28	[]	week lineup
1089561348290301952	2019-01-27	[]	sunday suit
1089214261640024065	2019-01-26	[]	catch
1088906261293400067	2019-01-25	[]	clock
1088437525750968325	2019-01-24	[]	outdo @mr_aznar
1088112326363017221	2019-01-23	[]	'em
1087710795096621056	2019-01-22	[]	attir short week suit sweatshirt
1087380010506375168	2019-01-21	[]	today lay lay lay
1087003223045615616	2019-01-20	[]	two day
1086629973941731329	2019-01-19	[]	long weekend uniform
1086383376767045633	2019-01-18	[]	clock strikes 5
1086382363284783109	2019-01-18	['#clubmonaco', '#whowhatwear']	cashm adel scarf feat 17 best cashm scarv internet thank lov @whowhatwear
1086264409054461952	2019-01-18	[]	flurry friday
1085906914267955202	2019-01-17	[]	get ground
1085589571579117572	2019-01-16	['#10yearchallenge']	inspir look back found favorit campaign shot decad ago look timeless arch turn im favorit club monaco piec past
1085205887659241473	2019-01-15	[]	button
1084818393822384128	2019-01-14	[]	work hom @wethepeoplestyle perfect tail set
1084187790693126145	2019-01-12	[]	saturday necess
1084135733999341574	2019-01-12	['#clubmonaco']	rent runway carry club monaco dress lik megh markl without break bank thank lov @renttherunway
1084130116379258881	2019-01-12	[]	today plan
1083375706145468416	2019-01-10	[]	busy mak icon @greceghanem class borrem suit
1083029861667614726	2019-01-09	[]	new year new collect feat bold suit relax optim year tak let go
1082642902432522241	2019-01-08	[]	resolv tie loos end
1082271300356374528	2019-01-07	[]	fresh approach janu collect edit com soon
1081933136836075521	2019-01-06	[]	sunday best
1081640354145845248	2019-01-05	[]	stil hibern
1081242548604145664	2019-01-04	[]	first friday 2019
1080828620107583488	2019-01-03	[]	gath thought
1080493917282463744	2019-01-02	[]	art lay
1080125473433235458	2019-01-01	[]	styl new perspect good morn 2019 @laurencaruso_
1079862461560508417	2018-12-31	[]	count
1079766222902882306	2018-12-31	[]	midnight await
1079487517357936642	2018-12-30	[]	tim tomorrow
1079038417185460224	2018-12-29	[]	soft around edg
1078735899062685696	2018-12-28	[]	two's company
1078315543277563905	2018-12-27	['#cmmensshop']	wor profil
1078020986837131269	2018-12-26	[]	excus vent
1077583279669293061	2018-12-25	[]	happy holiday friend club
1077212978666196992	2018-12-24	[]	party back
1076902964449685505	2018-12-23	['#cmholidayedit']	fin touch
1076595097263837185	2018-12-22	['#cmholidayedit']	almost ready
1076196535619256321	2018-12-21	['#wintersolst']	head hibern
1075758055038574592	2018-12-20	['#cmholidayedit']	settl holiday weekend ahead
1075393010643419136	2018-12-19	['#cmholidayedit']	pack holiday travel idea
1075037846170411008	2018-12-18	[]	paus warm
1074683647079391232	2018-12-17	[]	wint light
1074340242356928514	2018-12-16	['#cmcashmereshop']	sunday forecast
1074049844254265349	2018-12-15	['#cmholidayedit']	party season ful swing
1073687747473403906	2018-12-14	[]	text text
1073577461101793280	2018-12-14	['#cmmensshop']	soft structured
1073244917588205568	2018-12-13	['#cmholidayedit']	party ready
1072862295355731969	2018-12-12	['#cmholidayedit']	kind holiday swe
1072513463962996736	2018-12-11	[]	100% silk
1072132696720228352	2018-12-10	[]	off look weekend mood
1071964864657190916	2018-12-10	[]	tak work monday morn
1071779937089150977	2018-12-09	[]	soft text sunday
1071425867774156801	2018-12-08	[]	last least
1071134415886172161	2018-12-07	[]	mood holiday
1070705288246910978	2018-12-06	[]	wrap holiday season club monaco design team cre wrap pap custom foc avail select reg view instagram post story
1070348694896197632	2018-12-05	[]	lay text soft silhouet new ar
1069977502905446404	2018-12-04	['#cmmensshop']	feel holiday warm jord web team wear lightweight flannel shirt
1069268620641996800	2018-12-02	[]	pil
1068986092651573248	2018-12-01	[]	wrap ready
1068891004797882368	2018-12-01	[]	swe sparkl @wethepeoplefsn
1068623938366910464	2018-11-30	[]	5pm strikes
1068507250912882688	2018-11-30	[]	tgif
1068148148588216320	2018-11-29	[]	warm col cool day
1067787822634016768	2018-11-28	[]	say loud
1067422569782042625	2018-11-27	['#cybermonday']	on last peek end tonight
1067131970889674752	2018-11-26	['#cmbloorst']	walk way via @larkandlinen
1067065262275534848	2018-11-26	[]	coff break
1066736220695334917	2018-11-25	['#cmmensshop']	sunday outfit
1066337598078103553	2018-11-24	[]	touch gold
1066092044337188864	2018-11-23	[]	plan
1065981992313991171	2018-11-23	[]	on quick stop black friday ev continu stor onlin 25% $150 30% $250 35% $400 stor onlin cod cmblackfriday18
1065719849446502401	2018-11-22	[]	friend famy food candl cashm commun thank every on
1065719283995607041	2018-11-22	['#happythanksg']	cozy cashm comfy pant today day
1065283732469370880	2018-11-21	[]	black friday ev 25% $150 30% $250 35% $400 stor onlin cod cmblackfriday18
1065266466348548096	2018-11-21	['#clubmonaco', '#meghanmarkl', '#duchessofsussex']	megh duchess sussex surpr visit hub commun kitch london ahead holiday season
1064931803994169345	2018-11-20	[]	holiday lay cozy brush cotton
1064532774684635136	2018-11-19	[]	monday sho weekend mood
1064214889873453056	2018-11-18	[]	sunday found
1063831223880114182	2018-11-17	[]	brunch ready
1063436879092244480	2018-11-16	[]	shin
1063199984995221505	2018-11-15	['#cmholidayedit']	season favorit
1063137102542585857	2018-11-15	['#cmholidayedit']	man's best friend
1063080010221805569	2018-11-15	['#cmholidayedit']	'tis season simpl
1062710424225923078	2018-11-14	[]	detail
1062420728690155525	2018-11-13	['#clubcashm']	cashm lov company tag on spend friendsg
1062360931454410752	2018-11-13	[]	fuzzy detail
1062080778799116288	2018-11-12	[]	holiday season bal act
1061636240683028480	2018-11-11	['#cmholidayedit']	favorit thing
1061607668291420160	2018-11-11	['#cmholidayedit']	gift giv oth
1061283838914162690	2018-11-10	['#clubherit']	weekend icon shar mem @jodiblk
1061022418473492485	2018-11-09	[]	two canad brand com togeth pretty much guarantee gre thing going hap cas point latest collab club monaco reign champ thank @vancouversun
1061020838483423232	2018-11-09	[]	cal club monaco fan brand releas exclud caps collect feat herit crest 1985 collab canad athlet wear brand reign champ thank feat @ellecanada
1060998909512826880	2018-11-09	['#clubherit']	est toronto 1985 crest icon stapl club monaco brand today back limit tim part caps collect collab @reigningchamp shar mem
1060932576246988801	2018-11-09	[]	celebr herit crest partn @reigningchamp we'r ask friend pay hom icon collect shar mem club mom
1060919357264617472	2018-11-09	['#clubherit']	icon canad brand club monaco @reigningchamp team cre caps collect hit stor today thank feat @complex
1060918466306363392	2018-11-09	[]	year canad found club monaco team @reigningchamp vancouv bas streetwear brand releas fiv vint inspir collect feat belov herit crest thank @canadianliving
1060897632082640896	2018-11-09	['#clubherit']	back herit crest collect avail stor onlin limit tim
1060641725889298432	2018-11-08	['#clubherit']	partn vancouv brand @reigningchamp fiv caps collect showcas sign fabr qual craftsm launch tomorrow
1060564221828755456	2018-11-08	[]	nostalg collect launch stor novemb 9th hap toronto novemb 8th spec pre club monaco blo street loc toronto thank @fashioncanada view
